id,email,class
1,"hey click this link to win prize",1
2,"hi vignesh, can you please come tomorrow",0
3,"Urgent, please click this link to save a kid",1
4,"Hello vignesh, please look into this document when you are free",0
5,"1 Cr health coverage | Upto 42999 in tax savings cr health coverag upto in tax save click here to know more",1
6,"Promote your brand through a personalised pen.",1
7,"Up for Cosy Bonfire Nights in the Hills?",1
8,"Missed you this time. You can still file your Income tax return. (Ignore if Filed) -AXXXXX479K(TXAXGXRXJXN VXGXEXH KXMXR)",1
9,"redbus welcom download the redbus app bus ticket bus hire pilgrimag now enjoy book bus ticket on kerala rtc from anywher with the redbus app enjoy a hasslefre book experi with the seat of your choic so go ahead download the redbus app now book now appli and for more inform on offer click here to unsubscrib",0
10,"hi vignesh, how are you, I am looking forward for your email",0
